Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5077","Crop harvest removal","2018","2018","t","40868.9225","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5077","Crop harvest removal","2019","2019","t","76079.9144","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5077","Crop harvest removal","2019","2019","t","18999.8899","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5077","Crop harvest removal","2019","2019","t","41062.2572","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5077","Crop harvest removal","2020","2020","t","66573.2347","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5077","Crop harvest removal","2020","2020","t","25569.9229","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5077","Crop harvest removal","2020","2020","t","44354.3641","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5077","Crop harvest removal","2021","2021","t","61362.0785","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5077","Crop harvest removal","2021","2021","t","16219.3988","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5077","Crop harvest removal","2021","2021","t","36551.2418","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5077","Crop harvest removal","2022","2022","t","64489.4624","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5077","Crop harvest removal","2022","2022","t","20057.6294","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5077","Crop harvest removal","2022","2022","t","39239.934","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7275","Cropland nitrogen","5077","Crop harvest removal","2023","2023","t","41238.4495","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7280","Cropland phosphorus","5077","Crop harvest removal","2023","2023","t","14891.0474","E","Estimated value"
"ESB","Cropland Nutrient Balance","788","Tunisia","7282","Cropland potassium","5077","Crop harvest removal","2023","2023","t","33260.5635","E","Estimated value"
